CustomerID,Probability
52923,0.9999944
52626,0.99998665
53968,0.9999795
51679,0.99994123
54620,0.99991786
51399,0.9998733
50038,0.9998733
52695,0.99978
54054,0.99976796
55118,0.999729
51591,0.9997106
52835,0.99970955
51683,0.99955183
50546,0.9995315
51907,0.9995315
52242,0.9994411
51363,0.9993967
50520,0.9991872
53876,0.9991825
50753,0.99915004
53092,0.9989685
52234,0.9989164
50013,0.99890447
51449,0.9987978
52431,0.9987903
50945,0.99876875
52306,0.99876875
53433,0.99870074
53198,0.9986291
54387,0.99840647
51666,0.9983975
51312,0.9983955
51782,0.9983304
50421,0.998312
53640,0.99823064
54834,0.9982077
50056,0.9981623
54280,0.99795413
51941,0.99792767
54559,0.9977894
54246,0.99776876
50366,0.99769574
52799,0.99762744
53933,0.9976089
52627,0.9975732
51053,0.9974583
52485,0.9974368
54097,0.99735403
54497,0.99731666
54520,0.99727976
53044,0.99725467
53652,0.99709475
50850,0.99697065
51406,0.9969638
51818,0.99694556
54032,0.9968258
51427,0.9968015
52971,0.996786
53169,0.99678445
53159,0.99651957
53607,0.99640036
54933,0.9963761
50497,0.9963731
52491,0.99620605
51130,0.99620605
55116,0.9961939
53021,0.9961429
51060,0.99611497
53149,0.9959948
53475,0.9957163
53259,0.9956018
51752,0.99549484
50609,0.9954919
50017,0.995484
51349,0.995484
50768,0.99543
50044,0.9953666
52580,0.9952851
50078,0.99519664
51002,0.9948802
55141,0.99487936
53827,0.9947314
52319,0.9946737
50869,0.9946503
52074,0.99447435
50713,0.99447435
50003,0.99428225
51800,0.9941432
50439,0.9941432
50107,0.99370366
54550,0.9935726
53136,0.9934255
53223,0.993309
53479,0.99328035
54210,0.99298006
50802,0.9927861
50564,0.9926162
55177,0.9925453
52853,0.9924954
50536,0.9924759
51969,0.9922178
54732,0.99213386
53211,0.99211663
54813,0.9918942
52231,0.99175924
54585,0.9916073
52908,0.99127287
50084,0.9910664
53747,0.991037
54795,0.9907913
54075,0.990708
54381,0.99002904
53339,0.98985016
53258,0.9898192
53883,0.9897161
52179,0.98960847
50619,0.9894071
50109,0.98914707
51375,0.98904455
54584,0.9885385
51077,0.9884139
51005,0.98832357
51405,0.9877556
53373,0.9877117
51739,0.9874071
51954,0.98739004
50605,0.98718613
50136,0.98696774
54265,0.98681307
53046,0.9866149
54407,0.9866149
51240,0.9864204
55105,0.9863977
52892,0.98602515
54810,0.9856758
51890,0.9855407
52503,0.98551625
53526,0.98478585
53786,0.9840426
52490,0.9834378
50525,0.9827979
52437,0.9826728
54303,0.9820419
54837,0.9813271
54937,0.9812651
52983,0.9810308
55056,0.98051053
54986,0.9802172
53407,0.97981226
51224,0.9793284
53845,0.9793219
50336,0.9791214
52608,0.97843766
51294,0.9782824
52741,0.9775416
51055,0.9772445
51092,0.9768464
50198,0.9763485
51293,0.97612464
54491,0.9760492
50160,0.97592837
52259,0.9757494
54653,0.9744732
52613,0.97425145
54765,0.9742416
54473,0.97363317
54574,0.9733766
55181,0.9731925
51345,0.97281027
52803,0.97214925
50235,0.9698343
50923,0.96897507
54253,0.9681949
50444,0.9654015
55106,0.96403784
50687,0.96331316
54766,0.96323353
51036,0.9628955
53411,0.960404
54305,0.95838076
51412,0.9581859
54134,0.95710456
53899,0.956602
50656,0.95639694
50381,0.9562699
55092,0.95625234
52748,0.9550289
50009,0.95415473
51664,0.95398396
52614,0.95300907
50847,0.9516304
54316,0.95107853
54531,0.9508263
51719,0.9508044
54633,0.9499608
54726,0.9489251
50091,0.94825673
52486,0.94738543
51794,0.9425581
51864,0.942404
53379,0.9413702
52034,0.9402093
51359,0.9396817
53889,0.9392236
54881,0.9383947
52619,0.9373866
53619,0.9362004
54139,0.93460894
51984,0.9320854
52014,0.9269098
54714,0.92515683
51977,0.9240157
53527,0.9201307
52778,0.91187924
54660,0.9091232
51648,0.9086088
54770,0.90047073
52539,0.89875096
51181,0.89875096
53278,0.89795685
